order_id,rider_id,assigned,predicted_eta
O0040988,D0042,True,32.6428236490702
O0041304,D0109,True,28.811466433783018
O0041031,D0088,True,31.596081453570633
O0041190,D0116,True,23.351921965765044
O0041416,D0263,True,18.22747286213142
O0041042,D0283,True,19.441934700142646
O0041107,D0205,True,22.659642148971322
O0041129,D0085,True,26.39131209367616
O0041365,D0274,True,47.954627999615745
O0041202,D0051,True,19.7147438938718
O0040905,D0266,True,37.56814432636246
O0040756,D0248,True,25.479881789437513
O0041072,D0000,True,26.57252153178102
O0041060,D0117,True,25.512896051845686
O0041233,D0021,True,19.348110766178944
O0040992,D0186,True,28.87071769006534
O0041199,D0226,True,17.433975350136716
O0041645,D0159,True,20.07728223673646
O0041178,D0188,True,40.00347131023569
O0040770,D0245,True,57.922649154183446
O0041180,D0225,True,27.313967509590814
O0041517,D0153,True,23.188389445047967
O0041336,D0094,True,19.460469092927564
O0041467,D0060,True,23.011028546036712
O0041073,D0220,True,20.50684443903893
O0041373,D0206,True,63.22353610614195
O0041370,D0134,True,29.122641987840392
O0041423,D0014,True,53.42119865621053
O0040747,D0066,True,24.03051964414236
O0040996,D0264,True,24.963069692460248
O0041153,D0263,True,22.256672159729597
O0040832,D0244,True,25.352840549498033
O0041620,D0195,True,19.242761735931772
O0041342,D0215,True,44.11552307799799
O0041622,D0233,True,23.405821222625278
O0041184,D0178,True,30.21798159627192
O0041630,D0079,True,22.588974509941288
O0041098,D0133,True,25.663381717028415
O0041219,D0209,True,19.918386860926837
O0041288,D0140,True,19.49828581003924
O0040986,D0002,True,21.634189287230633
O0040857,D0150,True,19.60114050470347
O0041652,D0115,True,21.534869795560777
O0041356,D0018,True,21.982867215556915
O0041257,D0019,True,26.318766847715423
O0040759,D0149,True,72.87303596595893
O0041596,D0247,True,22.265973751812197
O0041150,D0187,True,27.770525273226536
O0041551,D0198,True,16.11796966932521
O0041134,D0108,True,20.086688267365773
O0041437,D0255,True,19.73542622447365
O0040762,D0006,True,23.633698011100392
O0041521,D0152,True,25.546632981368
O0040793,D0131,True,58.50492195640161
O0040810,D0061,True,27.632313197293666
O0041003,D0211,True,25.562784205307004
O0040784,D0076,True,50.94265802015444
O0041143,D0122,True,24.577849512415654
O0041013,D0266,True,20.803598144886294
O0040841,D0166,True,35.66371322492697
O0041236,D0153,True,48.41584628865918
O0041208,D0002,True,23.127626681621653
O0041771,D0249,True,22.128188180365516
O0042338,D0055,True,26.687502301232993
O0041826,D0053,True,41.819894330727095
O0041898,D0241,True,35.03222692836726
O0041668,D0164,True,24.106453331409487
O0041927,D0033,True,18.17427453719368
O0041849,D0079,True,20.53465213817913
O0041809,D0097,True,31.509530938380184
O0042252,D0192,True,29.018338430883524
O0041903,D0204,True,30.27110456402941
O0042165,D0189,True,24.830067174933614
O0042095,D0163,True,37.2958102354721
O0042149,D0203,True,28.39929134707545
O0041965,D0120,True,39.523414155435034
O0042076,D0122,True,31.336014176658193
O0041995,D0160,True,37.99933683340633
O0042426,D0010,True,22.88860214628617
O0041981,D0215,True,39.94370354127476
O0042372,D0066,True,25.97586323273007
O0041910,D0131,True,41.89823098591691
O0041815,D0049,True,16.80179631776605
O0042322,D0278,True,26.438326671029923
O0042285,D0046,True,12.778786392339216
O0041823,D0088,True,28.53821757138005
O0041852,D0134,True,30.59529319711269
O0042009,D0085,True,27.80350318526869
O0042134,D0055,True,33.71562463339305
O0041689,D0062,True,25.238370088975785
O0042025,D0152,True,27.469527710513102
O0041832,D0142,True,23.795686897810306
O0042333,D0150,True,73.02241511841306
O0042070,D0021,True,23.21719008470016
O0042040,D0171,True,21.81195134669414
O0042329,D0214,True,19.478771631327742
O0042019,D0168,True,34.86173931380206
O0041909,D0195,True,35.1730716854248
O0042291,D0280,True,26.83069190121196
O0041866,D0192,True,17.659104876956462
O0042156,D0280,True,19.56827309990984
O0041678,D0159,True,18.48101021096855
O0041796,D0241,True,20.190246089936505
O0041973,D0162,True,35.177614731001306
O0041972,D0079,True,33.80587276574427
O0042098,D0185,True,18.958885499623353
O0042113,D0087,True,42.29186905431942
O0041912,D0266,True,17.83507689336781
O0041688,D0241,True,86.54054343956278
O0042371,D0002,True,80.30952440478893
O0042328,D0152,True,41.25100880571133
O0042349,D0168,True,30.477545601312265
O0042116,D0116,True,22.960370820702902
O0041845,D0252,True,26.99677465360262
O0042190,D0149,True,44.2282504731707
O0041767,D0260,True,36.61728777572102
O0041962,D0203,True,28.879217925970675
