restaurant_id,zone,lat,lon,cuisine,base_prep_mean_min,base_prep_std_min,popularity_weight
R0000,Ikeja,6.587760214565753,3.3616987172643835,Grills/BBQ,17.6,4.4,1.524
R0001,Apapa,6.454773184373692,3.348310434449705,Grills/BBQ,17.2,3.4,0.713
R0002,Ajah,6.458199551751076,3.5902100426132773,Continental,10.2,3.4,1.366
R0003,Apapa,6.4715043080721,3.3578005423941253,Continental,11.8,2.9,0.539
R0004,Ajah,6.475616083540607,3.614297553703327,Nigerian,11.9,2.6,0.759
R0005,Apapa,6.453461709321659,3.3484855250268786,Fast Food,10.6,2.8,1.505
R0006,Ikoyi,6.461432582622121,3.422558314781743,Grills/BBQ,14.3,2.4,0.674
R0007,Ikoyi,6.463265333101471,3.432518136380235,Nigerian,14.5,3.6,0.825
R0008,Ajah,6.4611751490487155,3.581461772278563,Continental,20.7,2.9,1.625
R0009,Ikeja,6.603997166378917,3.3594668282827853,Grills/BBQ,16.4,1.6,1.113
R0010,Ojota,6.573817391614098,3.361564165252809,Fast Food,9.8,2.3,3.085
R0011,Victoria Island,6.422332089274456,3.4240538266553484,Chinese,16.0,3.9,0.574
R0012,Lekki,6.438046538431022,3.4563535455349808,Nigerian,15.4,3.0,0.598
R0013,Victoria Island,6.437082698971133,3.420562034344455,Grills/BBQ,11.8,2.6,0.539
R0014,Lekki,6.42973716782738,3.478031258107814,Nigerian,10.4,4.4,2.023
R0015,Surulere,6.488396161319867,3.35640864421545,Grills/BBQ,10.3,2.9,0.599
R0016,Apapa,6.458209430631486,3.351827801563702,Fast Food,9.1,3.7,1.296
R0017,Lekki,6.464824015032832,3.469348159072138,Chinese,10.1,1.6,1.08
R0018,Yaba,6.514317759298518,3.3909827718255787,Fast Food,9.7,4.3,0.693
R0019,Victoria Island,6.436674537781994,3.4188810136175727,Continental,9.0,3.8,0.63
R0020,Surulere,6.540337143291099,3.364830733643614,Continental,10.2,2.3,0.958
R0021,Ajah,6.461536693212693,3.5832871407710702,Chinese,18.2,1.9,4.985
R0022,Lekki,6.43663484322751,3.4718693202921433,Nigerian,22.4,1.8,1.457
R0023,Ojota,6.563370923709862,3.369044599829015,Fast Food,24.9,3.9,0.966
R0024,Surulere,6.506196838042429,3.3570717031771307,Pastries,13.2,2.0,0.597
R0025,Surulere,6.483747842746686,3.361545015621669,Continental,21.2,4.2,1.164
R0026,Victoria Island,6.4310616637684115,3.416317385216488,Fast Food,18.4,3.7,1.027
R0027,Ikeja,6.583329850810183,3.3739362987210724,Pastries,22.1,2.0,0.647
R0028,Apapa,6.473972654639453,3.3477441225584905,Pastries,16.1,3.0,0.604
R0029,Ojota,6.5954010051277345,3.3801309961688144,Nigerian,16.1,3.0,1.163
R0030,Apapa,6.443144943046462,3.355360555555554,Chinese,17.4,1.9,0.681
